location,size,total_sqft,bath,balcony,age,price
 Anekal,1,351,1,1,3.431500039,16
Electronic City,2,660,1,1,3.431500039,16
Basava Nagar,1,550,1,1,3.431500039,16
Harsha Layout,1,650,1,0,3.438546514,16
Yelahanka New Town,1,450,1,0,3.438546514,16
Harsha Layout,1,500,1,1,3.438546514,16
Celebrity Paradise Layout,1,550,1,1,3.443457952,16
Electronic City,2,550,1,1,3.443457952,16
Electronic City,2,550,2,1,3.443457952,16
Chandapura,1,645,1,1,3.446131154,16.45
Chandapura,1,645,1,1,3.446131154,16.45
Chandapura,1,645,1,1,3.446131154,16.45
Chandapura,1,645,1,1,3.455060765,16.45
Chandapura,1,645,1,1,3.455060765,16.45
Chandapura,1,645,1,1,3.455060765,16.45
Chandapura,1,645,1,1,3.479985415,16.45
Chandapura,1,645,1,1,3.479985415,16.45
Chandapura,1,645,1,1,3.479985415,16.45
Chandapura,1,645,1,1,3.485869967,16.45
Chandapura,1,645,1,1,3.485869967,16.45
Electronic City,2,880,1,1,3.485869967,16.5
Yelahanka New Town,1,440,1,1,3.49042996,16.5
Anekal,1,600,1,1,3.49042996,16.5
Rayasandra,1,540,1,1,3.49042996,16.5
Anekal,,1453,,,3.516437566,16.5
Electronic City,2,660,1,1,3.516437566,16.5
Kengeri Satellite Town,2,560,2,1,3.516437566,16.6
Kengeri,1,550,1,1,3.518886315,16.75
Electronic City Phase II,1,575,1,1,3.518886315,16.75
Electronics City Phase 1,1,360,1,0,3.518886315,16.9
Chandapura,2,650,1,1,3.525267865,17
BAGUR,1,686,1,1,3.525267865,17
Attibele,1,500,1,1,3.525267865,17
 Mysore Highway,1,600,1,1,3.533102865,17
Attibele,1,420,1,1,3.533102865,17
Doddathoguru,1,550,1,1,3.533102865,17
Kengeri,1,500,1,1,3.545706487,17
Marsur,2,497,1,1,3.545706487,17
Yelahanka New Town,1,650,1,1,3.545706487,17
Kodipalya,1,418,1,1,3.55805376,17
Doddathoguru,1,550,1,1,3.55805376,17
Sarjapur,1,633,1,1,3.55805376,17.09
Kengeri,1,416,1,1,3.56367208,17.19
Yelahanka,1,651,1,1,3.56367208,17.5
Mysore Road,1,500,1,1,3.56367208,17.5
Sarjapur,1,633 - 666,1,0,3.571056075,17.535
Sarjapur  Road,1,580 - 650,1,0,3.571056075,17.835
Anekal,1,530,1,1,3.571056075,18
Yelahanka New Town,1,960,2,1,3.573485177,18
Electronic City,3,880,2,1,3.573485177,18
Electronic City,2,660,1,1,3.573485177,18
Kodichikkanahalli,1,450,1,1,3.594830126,18
Tunganagara,1,600,1,0,3.594830126,18
Kengeri,1,416,1,1,3.594830126,18
Yelahanka New Town,1,500,1,1,3.596318811,18
Yelahanka New Town,1,45.06Sq. Meter,2,1,3.596318811,18
Kengeri,2,633,1,1,3.596318811,18
Electronic City,2,660,1,0,3.606331313,18
Yelahanka New Town,1,650,1,1,3.606331313,18
Makali,1,530,1,1,3.606331313,18
Kammasandra,1,650 - 665,1,0,3.607404727,18.41
Bannerghatta Road,1,500,1,1,3.607404727,18.5
Kengeri,1,34.46Sq. Meter,1,0,3.607404727,18.5
Venkatapura,1,416,1,1,3.613225369,18.5
Chandapura,2,850,1,1,3.613225369,18.5
Chandapura,2,750,1,1,3.613225369,18.5
Kammasandra,1,610,1,1,3.634897423,18.5
Chandapura,2,700,1,1,3.634897423,19
Sarjapur,1,625,1,1,3.634897423,19
Bethel Nagar,1,560,1,0,3.639344477,19
AMS Layout,1,1000,1,1,3.639344477,19
Electronic City,2,880,2,1,3.639344477,19
Varthur Road,2,770 - 841,2,0,3.640221786,19.33
Anekal,2,700,1,0,3.640221786,19.4
Bommanahalli,1,520,1,0,3.640221786,19.5
Chikkathoguru,1,1500,1,1,3.644175062,19.5
Kengeri,1,416,1,1,3.644175062,19.5
 Electronic City,1,435,1,1,3.644175062,19.5
Kereguddadahalli,1,600,1,1,3.647654634,19.5
Yelahanka,1,1075,1,0,3.647654634,19.5
Amruthahalli,1,485,1,1,3.647654634,19.5
Electronic City,2,750,2,1,3.648545707,19.5
Attibele,1,782,1,0,3.648545707,19.55
Sarjapur  Road,1,534,1,1,3.648545707,19.65
Kanakpura Road,1,381 - 535,1,0,3.654666982,19.695
 Rachenahalli,1,385 - 440,1,0,3.654666982,19.8
Abbigere,1,734,1,0,3.654666982,19.82
Whitefield,1,540 - 740,1,0,3.664293785,19.83
Sarjapur,1,650,1,2,3.664293785,19.87
Gunjur Palya,2,674,1,1,3.664293785,19.9
Kaikondrahalli,2,674,1,1,3.686286995,19.9
Chandapura,2,674,1,1,3.686286995,19.9
Jakkur,2,850,1,1,3.686286995,19.9
Dommasandra,2,674,1,1,3.690574063,19.9
Varthur,2,674,1,1,3.690574063,19.9
Chandapura,2,800,1,1,3.690574063,20
Alur,1,530,1,1,3.69089057,20
Chikkabanavar,1,1200,1,0,3.69089057,20
Yelahanka New Town,1,500,1,1,3.69089057,20
Panduranga Nagar,1,500,1,0,3.696844062,20
Yelahanka New Town,1,650,1,1,3.696844062,20
Nagarbhavi,1,300,1,1,3.696844062,20
9th Phase JP Nagar,1,600,1,0,3.70833623,20
Bilal Nagar,2,650,1,1,3.70833623,20
Kengeri Satellite Town Stage II,1,500,1,1,3.70833623,20
Sarjapur,2,535,1,1,3.711992007,20
Electronic City,2,1200,2,1,3.711992007,20
BTM Layout,1,450,1,1,3.711992007,20
Marsur,2,497,1,1,3.715277954,20
Venkateswara Nagar,1,600,1,0,3.715277954,20
Sidedahalli,2,750,2,0,3.715277954,20
Yelahanka New Town,1,488,1,1,3.719435743,20
Pillanna Gardens,2,550,1,1,3.719435743,20
Shauhardha Layout,1,509,1,1,3.719435743,20
Hulimavu,1,450,1,1,3.727083933,20
Marsur,2,497,1,1,3.727083933,20
Harsha Layout,1,450,1,1,3.727083933,20
Shivaji Nagar,2,500,1,1,3.735941791,20
P&T Colony,1,425,1,0,3.735941791,20.03
Neeladri Nagar,1,640,1,1,3.735941791,20.5
Neeladri Nagar,1,674,1,1,3.738592971,21
Hosur Road,1,460,1,1,3.738592971,21
Raja Rajeshwari Nagar,1,550,1,0,3.738592971,21
Whitefield,1,810,1,0,3.743747008,21
Electronics City Phase 1,1,585,1,1,3.743747008,21
Electronic City,1,435,1,1,3.743747008,21
Bagalakunte,1,560,1,1,3.744902467,21
Rayasandra,1,470,1,1,3.744902467,21
Anekal,2,680,1,1,3.744902467,21
Hosur Road,1,760,1,2,3.745922263,21.28
KR Puram,1,700,1,1,3.745922263,21.5
Kanakpura Road,1,525,,,3.745922263,21.53
Kaval Byrasandra,2,460,1,0,3.749314681,22
Anekal,2,656,2,1,3.749314681,22
Raja Rajeshwari Nagar,1,600,1,1,3.749314681,22
Anekal,2,620,2,1,3.753906833,22
Kengeri,2,750,2,2,3.753906833,22
Electronic City,2,1000,2,2,3.753906833,22
Byagadadhenahalli,2,620,2,1,3.770547698,22
Kengeri Satellite Town,2,635,1,1,3.770547698,22
Kengeri Satellite Town,1,654,1,1,3.770547698,22
Magadi Road,2,600,1,1,3.779592247,22
Geleyara Balaga Layout,2,596,2,1,3.779592247,22
Electronic City,1,435,1,1,3.779592247,22
KR Puram,2,734,2,1,3.784839441,22
Electronic City,1,605,1,1,3.784839441,22
Allalasandra,2,560,2,1,3.784839441,22
Annaiah Reddy Layout,1,540,1,0,3.786709298,22
Chandapura,2,740,1,1,3.786709298,22
Raja Rajeshwari Nagar,1,510,1,1,3.786709298,22
Dommasandra,2,805,2,1,3.802598991,22.14
Dasanapura,2,545,2,1,3.802598991,22.34
Celebrity Paradise Layout,1,532,1,1,3.802598991,22.49
Shree Ananth Nagar Layout,2,900,2,2,3.816094456,22.5
Ananth Nagar,2,900,2,2,3.816094456,22.5
Kengeri,1,540,1,1,3.816094456,22.5
Bhagyalakshmi Avenue,1,540,1,1,3.824204216,22.5
Sarjapura - Attibele Road,2,829,2,1,3.824204216,22.8
Kodathi,2,829,2,1,3.824204216,22.8
Electronic City Phase II,2,829,2,1,3.831695269,22.8
Lake City,1,600,1,1,3.831695269,22.8
 Bhoganhalli,1,296,1,0,3.831695269,22.89
Hennur Road,2,276,3,3,3.854617568,23
Jyothi Nagar,2,600,2,1,3.854617568,23
Electronics City Phase 1,1,650,1,1,3.854617568,23
Byagadadhenahalli,2,620,2,1,3.858766446,23
Mysore Road,1,45,1,0,3.858766446,23
Jalahalli West,1,550,1,1,3.858766446,23
Austin Town,1,600,2,0,3.862416923,23
Hosur Road,1,660,1,1,3.862416923,23
Electronic City,2,660,1,1,3.862416923,23
Byagadadhenahalli,2,620,2,1,3.870868952,23
Hoskote,1,509,1,1,3.870868952,23
Electronic City,2,660,1,1,3.870868952,23.1
Kammasandra,2,1018,2,0,3.881794238,23.45
5th Phase JP Nagar,1,552,1,1,3.881794238,23.5
Anekal,2,620,1,1,3.881794238,23.5
Raghuvanahalli,1,420,1,1,3.883363566,23.5
Sarjapura - Attibele Road,1,740,1,1,3.883363566,23.65
Yelahanka,1,628,1,1,3.883363566,24
Kammasandra,2,870,2,1,3.895831096,24
Nelamangala,2,820,2,2,3.895831096,24
Sarvabhouma Nagar,1,500,1,0,3.895831096,24
Devarachikkanahalli,1,615,1,1,3.907090367,24
Yelahanka New Town,1,500,2,1,3.907090367,24
Venkateshpuram,2,625,2,1,3.907090367,24
Hessarghatta,2,900,2,1,3.90784119,24
Electronic City,2,870,2,2,3.90784119,24
Bhagyalakshmi Avenue,1,540,1,2,3.90784119,24
Sunkadakatte,1,600,1,0,3.909432709,24
Kammasandra,2,810,2,2,3.909432709,24.5
Gollarahatti,4,740,2,1,3.909432709,24.5
Ananth Nagar,2,982,2,2,3.921476794,24.55
Ananth Nagar,2,992,2,2,3.921476794,24.8
Chandapura,2,975,2,1,3.921476794,24.86
Chandapura,2,975,2,1,3.927293256,24.86
Chandapura,2,975,2,1,3.927293256,24.86
Chandapura,2,975,2,1,3.927293256,24.86
Attibele,2,995,1,1,3.930198546,24.88
Hosa Road,1,760,1,1,3.930198546,24.9
Attibele,2,996,2,1,3.930198546,24.9
Electronics City Phase 1,2,891,2,1,3.937577626,24.95
Kengeri,2,1000,2,1,3.937577626,25
Electronic City Phase II,2,1000,2,1,3.937577626,25
Attibele,2,656,2,1,3.939501102,25
Gottigere,2,891,2,1,3.939501102,25
Jalahalli West,1,469,1,0,3.939501102,25
Raja Rajeshwari Nagar,1,500,1,1,3.942530861,25
Doddathoguru,2,850,2,1,3.942530861,25
Kengeri Satellite Town,2,1072,2,1,3.942530861,25
Basaveshwara Nagar Yelahanka,1,581.91,2,1,3.944863742,25
Kaveri Nagar,1,750,1,2,3.944863742,25
KR Puram,2,750,2,1,3.944863742,25
Bommanahalli,1,515,1,1,3.945932446,25
Basavanagara,4,2000,3,2,3.945932446,25
Sarjapur,2,925,2,1,3.945932446,25
Keerthi Layout,2,780,2,2,3.951706343,25
Kanakpura Road,1,525,1,1,3.951706343,25
Electronic City,2,1000,2,3,3.951706343,25
Byagadadhenahalli,2,620,1,1,3.962672206,25
Kammasandra,2,930,2,0,3.962672206,25
Whitefield,1,650,1,1,3.962672206,25
Kuvempu Nagar,1,450,1,1,3.962770297,25
Kengeri,1,502,1,1,3.962770297,25
Anjanapura,2,710,2,0,3.962770297,25
Attibele,2,695,1,1,3.96574483,25
Attibele,2,850,1,1,3.96574483,25
Chikkabanavar,2,600,1,2,3.96574483,25
Electronic City,2,1210,2,2,3.966391566,25
Kaval Byrasandra,1,480,1,1,3.966391566,25
Chandapura,2,800,2,1,3.966391566,25
Kengeri,1,400,2,1,3.970244357,25
Attibele,2,900,1,1,3.970244357,25
Attibele,2,656,2,1,3.970244357,25
Marsur,2,497,1,1,3.979496081,25
Phase 1 Kammasandra,2,982,2,1,3.979496081,25
Soppahalli,1,620,1,1,3.979496081,25
Ananth Nagar,2,1000,2,3,3.979703619,25
Ananth Nagar,2,902,2,2,3.979703619,25
Sarjapur  Road,2,980,2,1,3.979703619,25
Shanti Nagar,2,420,1,1,3.983346134,25
Kengeri Satellite Town,2,777.4,2,0,3.983346134,25
Kengeri,1,400,1,1,3.983346134,25
Sidedahalli,2,900,2,0,3.986452421,25
Malleshwaram,2,302,2,1,3.986452421,25
Attibele,2,656,2,1,3.986452421,25
Yelahanka,1,567,1,1,3.987009788,25
Anekal,2,625,1,1,3.987009788,25
Bommasandra,2,950,2,1,3.987009788,25
Chandapura,2,985,2,1,3.989950505,25.12
Chandapura,2,985,2,1,3.989950505,25.12
Chandapura,2,985,2,1,3.989950505,25.12
 Thanisandra,1,510,1,0,3.992027946,25.25
 Thanisandra,1,510,1,1,3.992027946,25.25
Ananth Nagar,2,902,2,1,3.992027946,25.26
Chandapura,2,598 - 958,2,0,3.992420475,25.29
Sarjapur,2,940,2,1,3.992420475,25.38
Chandapura,2,850,2,1,3.992420475,25.4
Kaikondrahalli,2,849,2,1,3.994323302,25.4
Dommasandra,2,850,2,1,3.994323302,25.4
Gunjur Palya,2,849,2,2,3.994323302,25.4
Varthur Road,2,850,2,1,3.995153644,25.4
ITPL,2,850,2,1,3.995153644,25.4
Jigani,,1500,,,3.995153644,25.49
Doddathoguru,1,750,1,1,3.997533151,25.5
Ananth Nagar,2,810,2,1,3.997533151,25.5
 Mysore Highway,1,700,1,1,3.997533151,25.5
Dommasandra,3,1033,2,2,4.001515766,25.53
Kammasandra,2,982,2,2,4.001515766,25.53
Chandapura,2,950,2,1,4.001515766,25.65
Kammasandra,2,1030,1,2,4.00349912,25.75
Kammasandra,2,992,2,2,4.00349912,25.79
Nagavarapalya,1,646,1,0,4.00349912,25.84
Chandapura,2,1015,2,2,4.005731084,25.88
Chandapura,2,1015,2,2,4.005731084,25.88
Chandapura,2,1015,2,2,4.005731084,25.88
Chandapura,2,1015,2,2,4.007017132,25.88
Chandapura,2,1015,2,2,4.007017132,25.88
Ananth Nagar,2,850,2,1,4.007017132,25.99
Ananth Nagar,2,930,2,1,4.010907337,25.99
Geleyara Balaga Layout,2,700,1,1,4.010907337,26
Kanakpura Road,1,525,1,1,4.010907337,26
Shampura,1,375,2,0,4.018524685,26
Kanakpura Road,1,525,1,1,4.018524685,26
Yelahanka New Town,2,550,2,1,4.018524685,26
Shettigere,1,650,1,1,4.019356939,26
Ramamurthy Nagar,1,360,1,1,4.019356939,26
Neeladri Nagar,1,527,1,0,4.019356939,26
Gottigere,1,812,1,0,4.020978811,26
2nd Phase Judicial Layout,1,525,1,1,4.020978811,26
Ananth Nagar,2,908,2,1,4.020978811,26
Gottigere,1,812,1,1,4.025767576,26
Kengeri Satellite Town,2,818,2,1,4.025767576,26
Yelahanka,1,602,1,1,4.025767576,26
Electronics City Phase 1,1,635,1,0,4.028327591,26
Electronic City Phase II,2,920,2,2,4.028327591,26
KG Halli,1,375,1,0,4.028327591,26
Kanakpura Road,1,525,1,1,4.030105163,26
Weavers Colony,1,812,1,1,4.030105163,26
Doddabanahalli,2,830,2,2,4.030105163,26
Sarjapur  Road,1,475,1,1,4.034468457,26
Electronics City Phase 1,2,891,2,1,4.034468457,26
Kanakpura Road,1,525,1,1,4.034468457,26
Weavers Colony,1,812,1,0,4.035776603,26
Kanakpura Road,1,525,1,1,4.035776603,26.01
Kanakpura Road,1,525,1,1,4.035776603,26.25
Doddathoguru,2,1140,2,2,4.043752332,26.49
Bommasandra,2,1060,2,1,4.043752332,26.5
Electronic City Phase II,2,911,2,1,4.043752332,26.5
Electronic City,2,1025,1,1,4.045025219,26.63
Electronic City Phase II,2,1025,2,1,4.045025219,26.65
Whitefield,,2324,,,4.045025219,26.73
Ananth Nagar,2,1074,2,2,4.047392572,26.85
Rayasandra,1,583,1,1,4.047392572,26.9
Devanahalli,1,658,1,0,4.047392572,26.91
Devanahalli,1,658,1,1,4.050263913,26.91
Electronic City,1,589,1,1,4.050263913,27
Kodathi,2,850,2,2,4.050263913,27
Sidedahalli,2,900,2,0,4.0570074,27
Sarjapur  Road,1,710,1,1,4.0570074,27
Hessarghatta,2,700,2,0,4.0570074,27
Chandapura,2,1201,2,2,4.062422165,27
BSM Extension,2,840,2,2,4.062422165,27
Electronic City Phase II,2,545,1,1,4.062422165,27
Begur Road,2,970,2,2,4.065513078,27
Varthur Road,2,900,2,1,4.065513078,27
Chandapura,2,630,1,1,4.065513078,27
Yelahanka,2,600,2,2,4.067074053,27
Chandapura,1,620,1,1,4.067074053,27
Electronics City Phase 1,1,580,1,1,4.067074053,27
9th Phase JP Nagar,2,660,2,0,4.067165987,27
Kanakpura Road,1,525,,,4.067165987,27
Seegehalli,2,920,2,1,4.067165987,27
Gunjur Palya,2,900,2,1,4.069428648,27
Shivaji Nagar,2,550,1,1,4.069428648,27
Electronic City,2,1017,2,2,4.069428648,27
Kanakpura Road,1,525,1,1,4.069649993,27
Sanne Amanikere,1,655,1,2,4.069649993,27
Immadihalli,1,672,1,1,4.069649993,27
Magadi Road,2,750,2,1,4.072354843,27
Banashankari,2,600,1,0,4.072354843,27
Ananth Nagar,2,890,2,1,4.072354843,27
Yelahanka,2,870,2,1,4.073407375,27
 Electronic City,1,550,1,1,4.073407375,27
Kaikondrahalli,2,900,2,1,4.073407375,27
Sarjapur  Road,1,675,1,1,4.077536844,27
Horamavu Agara,1,625,1,1,4.077536844,27
Bisuvanahalli,2,850,2,1,4.077536844,27
ITPL,2,900,2,1,4.079320164,27
Kanakpura Road,1,525,,,4.079320164,27
Doddagubbi,1,747,1,2,4.079320164,27
Soundarya Layout,2,900,2,2,4.079782222,27
Talaghattapura,2,1090,2,1,4.079782222,27.24
Kanakpura Road,1,525,1,1,4.079782222,27.25
Budigere,1,664 - 722,1,0,4.081277465,27.375
Electronic City Phase II,2,1020,2,1,4.081277465,27.43
Kanakpura Road,1,525,1,1,4.081277465,27.5
Thanisandra,1,580,1,1,4.084091884,27.5
Kengeri,2,918,2,1,4.084091884,27.54
Jalahalli,1,610 - 615,1,0,4.084091884,27.565
Kereguddadahalli,2,1105,2,2,4.086691139,27.6
Chandapura,2,1025,2,2,4.086691139,27.68
Chandapura,2,1025,2,2,4.086691139,27.68
Chandapura,2,1025,2,2,4.087470353,27.68
Sarjapur,2,900,2,2,4.087470353,27.98
 Thanisandra,1,445,1,0,4.087470353,28
Hennagara,2,823,2,1,4.090967563,28
Chokkanahalli,1,1200,1,1,4.090967563,28
Kogilu,2,650,2,0,4.090967563,28
Kereguddadahalli,2,800,2,2,4.095953719,28
Arekere,1,600,1,1,4.095953719,28
Dodda Nekkundi,2,850,2,3,4.095953719,28
KR Puram,1,714,1,1,4.096517243,28
 Rachenahalli,1,440,1,0,4.096517243,28
Sompura,2,1090,2,2,4.096517243,28
Talaghattapura,2,1150,2,0,4.102335552,28
Rachenahalli,1,440,1,1,4.102335552,28
Electronics City Phase 1,2,919,2,0,4.102335552,28
Varthur,2,1083,2,2,4.104129923,28
Anekal,2,766,2,2,4.104129923,28
Kanakpura Road,1,381,1,0,4.104129923,28
Lake City,2,750,2,1,4.11266085,28
Hosa Road,2,840,2,1,4.11266085,28
Electronic City,1,635,1,1,4.11266085,28
Kanakpura Road,1,381,1,1,4.11440652,28
Kodigehalli,2,635,1,1,4.11440652,28
Electronic City,1,635,1,0,4.11440652,28
Gottigere,2,1100,2,1,4.122901533,28
Electronics City Phase 1,2,1000,2,3,4.122901533,28
Electronic City Phase II,2,1300,2,2,4.122901533,28
Anwar Layout,1,610,1,0,4.12590092,28
Anekal,2,614,1,1,4.12590092,28
Tejaswini Nagar,1,720,1,2,4.12590092,28
Electronic City Phase II,2,545,1,1,4.128267302,28
Chandapura,3,1095,2,2,4.128267302,28
Hoskote,2,929 - 1078,2,0,4.128267302,28.095
Electronic City,2,1125,2,1,4.128879951,28.13
Bommasandra,2,1126,2,1,4.128879951,28.15
Phase 1 Kammasandra,2,1105,2,2,4.128879951,28.18
Sarjapur  Road,2,870 - 1080,2,0,4.132176739,28.275
Hormavu,1,527 - 639,1,0,4.132176739,28.275
Hosa Road,1,615,1,1,4.132176739,28.29
Dasanapura,1,708,1,0,4.13269444,28.32
Electronic City Phase II,2,1090,2,1,4.13269444,28.34
Electronic City Phase II,1,630,1,1,4.13269444,28.35
Sarjapura - Attibele Road,2,1033,2,2,4.136021804,28.41
Electronic City,3,1033,2,2,4.136021804,28.41
Chandapura,2,876,2,2,4.136021804,28.47
Electronic City Phase II,2,1140,2,2,4.137278576,28.5
Hoskote,2,1065,2,2,4.137278576,28.5
Hoskote,,800 - 2660,,,4.137278576,28.545
Devanahalli,1,655 - 742,1,0,4.138822758,28.57
Kengeri Satellite Town,2,1025,2,1,4.138822758,28.57
Whitefield,1,660 - 670,,,4.138822758,28.585
Sarjapur  Road,,1200 - 2400,,,4.139620469,28.785
Electronic City,2,1000,2,1,4.139620469,28.88
Electronic City Phase II,2,1000,2,1,4.139620469,28.88
Electronic City Phase II,2,1000,2,1,4.141508415,28.88
Electronic City Phase II,2,1000,2,1,4.141508415,28.88
Electronic City Phase II,2,1000,2,1,4.141508415,28.88
Electronic City Phase II,2,1000,2,1,4.143032901,28.88
Electronic City Phase II,2,1000,2,1,4.143032901,28.88
Bommasandra Industrial Area,2,1000,2,1,4.143032901,28.88
Ambalipura,2,860,2,1,4.143350468,28.93
Kambipura,2,883,2,1,4.143350468,29
Electronic City,2,880,2,2,4.143350468,29
Kammasandra,2,674,2,1,4.144291525,29
Cox Town,1,605,1,1,4.144291525,29
Bisuvanahalli,2,845,2,1,4.144291525,29
Kengeri Satellite Town,3,1149,2,2,4.145068881,29
Sarjapur  Road,1,715,1,2,4.145068881,29
Hoskote,3,1250,3,2,4.145068881,29
Baba Nagar,2,700,2,1,4.150388618,29
Thanisandra,1,662,1,1,4.150388618,29
Kadabagere,1,520,2,0,4.150388618,29
Electronic City Phase II,2,545,1,1,4.152152601,29
Bommasandra,2,877,2,1,4.152152601,29
Hosapalya,2,800,1,1,4.152152601,29
Sarjapur,2,1205,2,2,4.16897216,29
Marsur,3,715,2,1,4.16897216,29
Whitefield,1,524,1,1,4.16897216,29
Hulimavu,1,581,1,1,4.169137168,29
Electronic City,1,589,1,1,4.169137168,29
Kumaraswami Layout,2,1200,2,2,4.169137168,29
Yelahanka,2,1000,2,1,4.16982037,29
Electronic City Phase II,2,1125,2,1,4.16982037,29.25
Kanakpura Road,1,525,,,4.16982037,29.25
Attibele,2,1174,2,1,4.170949099,29.35
Attibele,2,1175,2,1,4.170949099,29.38
Whitefield,1,530,1,1,4.170949099,29.44
Bommasandra Industrial Area,2,1020,2,1,4.173577215,29.45
Electronic City,2,1020,2,1,4.173577215,29.45
Electronic City Phase II,2,1020,2,1,4.173577215,29.45
Bommasandra Industrial Area,2,1020,2,1,4.174159402,29.45
Electronic City,2,1020,2,1,4.174159402,29.45
Electronic City,2,1020,2,1,4.174159402,29.46
Electronic City,2,1020,2,2,4.177213846,29.46
Talaghattapura,2,921,2,1,4.177213846,29.47
Talaghattapura,2,921,2,2,4.177213846,29.47
Singasandra,2,1010,2,1,4.177550251,29.5
Narasapura,2,30Acres,2,2,4.177550251,29.5
Chandapura,2,876,2,2,4.177550251,29.5
Mico Layout,1,800,1,1,4.180214591,29.5
Kaggadasapura,2,775,2,2,4.180214591,29.5
Hoskote near,2,600,2,2,4.180214591,29.5
Electronic City,2,1025,2,1,4.181184313,29.6
Electronic City,2,1025,2,1,4.181184313,29.6
Electronic City Phase II,2,1025,2,1,4.181184313,29.6
Electronic City,2,1025,2,1,4.182828228,29.61
Electronic City,2,1000,2,1,4.182828228,29.7
Ananth Nagar,2,1000,2,1,4.182828228,29.7
8th Phase JP Nagar,1,451,1,0,4.186458038,29.9
Bommanahalli,2,1000,2,2,4.186458038,29.9
ITPL,2,1000,2,1,4.186458038,29.95
Electronic City,2,1000,2,1,4.187031549,29.95
Chandapura,3,1110,2,2,4.187031549,29.97
Chandapura,3,1110,2,2,4.187031549,29.97
Sarjapur  Road,2,1117,2,3,4.188658329,29.99
Hoysalanagar,2,850,2,1,4.188658329,30
Vishwapriya Layout,2,820,2,1,4.188658329,30
Kanakpura Road,1,525,1,1,4.191621744,30
Kengeri Satellite Town,1,930,1,1,4.191621744,30
Weavers Colony,1,15,1,0,4.191621744,30
Kanakapura,1,551,1,1,4.192968844,30
Ramagondanahalli,1,540,1,0,4.192968844,30
Uttarahalli,2,882,2,1,4.192968844,30
Abbigere,1,765,2,2,4.195004096,30
Bommasandra,2,877,2,2,4.195004096,30
Kaikondrahalli,2,1000,2,1,4.195004096,30
Kengeri Hobli,3,600,2,0,4.196803531,30
Kereguddadahalli,2,904,2,1,4.196803531,30
